A1 Nouns,A1 Verbs,A1 Adjectives,A1 Adverbs & Others,A2 Nouns,A2 Verbs,A2 Adjectives,A2 Adverbs & Others,B1 Nouns (Complete),B1 Verbs,B1 Adjectives,B1 Adverbs & Others,B2 Nouns,B2 Verbs,B2 Adjectives (A-Z)
,,,,space,,,,letter,,,,Exile,job,overstate
,,,,speaker,,,,level,,,,Existence,jog,overwhelming
,,,,special,,,,liability,,,,Exit,join,overworked
,,,,specialist,,,,liberal,,,,Expansion,joke,own
,,,,species,,,,liberty,,,,Expectancy,jolt,packed
,,,,speech,,,,library,,,,Expectation,journey,painful
,,,,speed,,,,license,,,,Expenditure,judge,painless
,,,,spelling,,,,lid,,,,Expense,juggle,pale
,,,,spending,,,,lie,,,,Experience,jumble,parallel
,,,,spider,,,,life,,,,Experiment,jump,paralyzed
,,,,spirit,,,,lifestyle,,,,Expert,justify,paranoid
,,,,sport,,,,lifetime,,,,Expertise,keep,paranormal
,,,,spot,,,,lift,,,,Explanation,kick,parent
,,,,spray,,,,lighting,,,,Exploit,kidnap,parliamentary
,,,,spread,,,,light,,,,Exploration,kill,partial
,,,,spring,,,,likelihood,,,,Explosion,kindle,particular
,,,,square,,,,limb,,,,Export,kiss,partisan
,,,,stable,,,,limitation,,,,Exposure,knead,passionate
,,,,staff,,,,limit,,,,Expression,kneel,passive
,,,,stage,,,,line,,,,Extension,knit,past
,,,,stain,,,,link,,,,Extent,knock,pastoral
,,,,stairs,,,,lion,,,,Exterior,knot,patent
,,,,stamp,,,,lip,,,,External,know,pathetic
,,,,stand,,,,liquid,,,,Extraction,label,patient
,,,,standard,,,,list,,,,Extent,labor,patriotic
,,,,star,,,,listener,,,,Eye,lace,peaceful
,,,,stare,,,,listening,,,,Fabric,lack,peculiar
,,,,start,,,,literacy,,,,Face,lag,pedagogical
,,,,starter,,,,literature,,,,Facility,lament,pedestrian
,,,,state,,,,liter,,,,Fact,land,penal
,,,,statement,,,,liver,,,,Faction,landscape,pending
,,,,station,,,,living,,,,Factor,lapse,pensive
,,,,status,,,,load,,,,Factory,lash,perceptible
,,,,stay,,,,loan,,,,Faculty,last,perfect
,,,,steak,,,,lobby,,,,Failure,latch,periodical
,,,,steam,,,,local,,,,Fair,laugh,peripheral
,,,,steel,,,,location,,,,Fairness,launch,permanent
,,,,stem,,,,lock,,,,Faith,lavish,permissible
,,,,step,,,,log,,,,Fall,lay,perpetual
,,,,stick,,,,logic,,,,Fallacy,layer,personal
,,,,stomach,,,,logo,,,,Fame,lead,persuasive
,,,,stone,,,,loneliness,,,,Family,leaf,perverse
,,,,stop,,,,look,,,,Fan,leak,pessimistic
,,,,storage,,,,lord,,,,Fantasy,lean,petty
,,,,store,,,,loss,,,,Fare,leap,philosophical
,,,,storm,,,,lot,,,,Farm,learn,phonetic
,,,,story,,,,lottery,,,,Farmer,lease,physical
,,,,stranger,,,,lounge,,,,Farming,leave,physiological
,,,,strategy,,,,love,,,,Fashion,lecture,picturesque
,,,,stream,,,,lover,,,,Fat,legalize,pink
,,,,street,,,,low,,,,Fate,legislate,pious
,,,,strength,,,,loyalty,,,,Father,lend,pitiful
,,,,stress,,,,luck,,,,Fatigue,lengthen,plain
,,,,stretch,,,,luggage,,,,Fault,lessen,planetary
,,,,strike,,,,lunch,,,,Favor,let,planned
,,,,string,,,,lung,,,,Favorite,level,plastic
,,,,stroke,,,,luxury,,,,Fear,leverage,plate
,,,,structure,,,,machine,,,,Feast,levy,pleasant
,,,,struggle,,,,machinery,,,,Feature,liberate,pleased
,,,,student,,,,magazine,,,,February,license,pleasing
,,,,studio,,,,magic,,,,Federal,lick,plentiful
,,,,study,,,,magistrate,,,,Federation,lie,plural
,,,,stuff,,,,magnet,,,,Fee,lift,poetic
,,,,style,,,,mail,,,,Feedback,light,poignant
,,,,subject,,,,main,,,,Feeding,lighten,pointed
,,,,substance,,,,mainland,,,,Feel,like,pointless
,,,,substitute,,,,maintenance,,,,Feeling,limit,poisoned
,,,,success,,,,major,,,,Fellow,limp,poisonous
,,,,suck,,,,majority,,,,Fellowship,line,polar
,,,,sudden,,,,maker,,,,Female,linger,polite
,,,,sugar,,,,makeup,,,,Fence,link,political
,,,,suggestion,,,,male,,,,Ferry,liquidate,poor
,,,,suit,,,,mall,,,,Festival,list,popular
,,,,sum,,,,man,,,,Fever,listen,populous
,,,,summer,,,,management,,,,Fiber,litigate,portable
,,,,sun,,,,manager,,,,Fiction,litter,positive
,,,,sunlight,,,,mandate,,,,Field,live,possessive
,,,,sunrise,,,,manner,,,,Fight,load,possible
,,,,sunset,,,,manufacturer,,,,Fighter,loan,postal
,,,,sunshine,,,,manufacturing,,,,Fighting,loathe,potential
,,,,supermarket,,,,manuscript,,,,Figure,lobby,powerful
,,,,supply,,,,map,,,,File,local,powerless
,,,,support,,,,marathon,,,,Fill,locate,practical
,,,,supporter,,,,margin,,,,Film,lock,pragmatic
,,,,surface,,,,marker,,,,Filter,log,precarious
,,,,surgery,,,,mark,,,,Final,long,precious
,,,,surprise,,,,marketing,,,,Finance,look,precise
,,,,survey,,,,market,,,,Finding,loom,predictable
,,,,survival,,,,marketplace,,,,Fine,loosen,predominant
,,,,survivor,,,,marriage,,,,Finger,loot,premature
,,,,suspect,,,,martial,,,,Finish,lose,premier
,,,,suspicion,,,,mask,,,,Fire,lounge,premium
,,,,sweater,,,,mass,,,,Firewall,love,preparatory
,,,,sweep,,,,master,,,,Firm,low,preposterous
,,,,sweet,,,,mastery,,,,Fish,lower,prerequisite
,,,,swimming,,,,match,,,,Fisherman,lubricate,presidential
,,,,swing,,,,mate,,,,Fishing,lull,pressing
,,,,switch,,,,material,,,,Fist,lumber,prestigious
,,,,sword,,,,mathematics,,,,Fit,lure,presumptive
,,,,symbol,,,,matrix,,,,Fitness,lurk,pretentious
,,,,sympathy,,,,matter,,,,Fix,machine,prevailing
,,,,system,,,,maximum,,,,Fixture,magnify,prevalent
,,,,table,,,,mayor,,,,Flag,mail,previous
,,,,tablet,,,,meal,,,,Flame,main,primal
,,,,tail,,,,meaning,,,,Flash,maintain,primary
,,,,talent,,,,means,,,,Flat,make,prime
,,,,talk,,,,meantime,,,,Flavor,maltreat,primitive
,,,,tank,,,,meanwhile,,,,Fleet,manage,principal
,,,,tape,,,,measure,,,,Flesh,mandate,prior
,,,,target,,,,measurement,,,,Flexibility,maneuver,private
,,,,task,,,,meat,,,,Flight,mangle,privileged
,,,,taste,,,,mechanic,,,,Flood,manifest,proactive
,,,,tax,,,,mechanism,,,,Floor,manipulate,probable
,,,,taxi,,,,medal,,,,Flour,manufacture,problematic
,,,,tea,,,,media,,,,Flow,map,procedural
,,,,teacher,,,,medical,,,,Flower,mar,productive
,,,,teaching,,,,medicine,,,,Flu,march,professional
,,,,team,,,,medium,,,,Fluid,margin,profound
,,,,tear,,,,meeting,,,,Fly,mark,progressive
,,,,technique,,,,melody,,,,Flying,market,prohibited
,,,,technology,,,,member,,,,Focus,marry,prominent
,,,,telephone,,,,membership,,,,Fog,marshal,promising
,,,,television,,,,memo,,,,Fold,marvel,prompt
,,,,temperature,,,,memorial,,,,Folk,mash,proper
,,,,temple,,,,memory,,,,Follower,mask,prophetic
,,,,ten,,,,mention,,,,Following,mass,proportional
,,,,tendency,,,,mentor,,,,Fondness,massacre,proposed
,,,,tennis,,,,menu,,,,Food,massage,prospective
,,,,tension,,,,merchant,,,,Fool,master,prosperous
,,,,tent,,,,mercy,,,,Foot,masticate,protective
,,,,term,,,,merit,,,,Footage,match,proud
,,,,terrace,,,,mess,,,,Football,mate,provincial
,,,,test,,,,message,,,,Force,materialize,provisional
,,,,text,,,,messenger,,,,Forecast,matter,provocative
,,,,texture,,,,metal,,,,Foreigner,mature,prudent
,,,,theater,,,,metaphor,,,,Forest,maximize,psychological
,,,,theme,,,,meter,,,,Forever,mean,psychiatric
,,,,theory,,,,method,,,,Forge,measure,public
,,,,therapy,,,,methodology,,,,Fork,mediate,punctual
,,,,thing,,,,metric,,,,Form,meditate,pure
,,,,thinking,,,,middle,,,,Format,meet,purple
,,,,thirst,,,,midnight,,,,Formation,mellow,purposeful
,,,,thought,,,,migration,,,,Formula,melt,puzzled
,,,,throat,,,,military,,,,Formulation,memorize,quaint
,,,,thumb,,,,milk,,,,Fort,menace,qualified
,,,,thunder,,,,mill,,,,Fortune,mend,qualitative
,,,,ticket,,,,million,,,,Forum,mention,quantitative
,,,,tide,,,,mind,,,,Fossil,mentor,quarrelsome
,,,,tie,,,,miner,,,,Foundation,merge,queenly
,,,,tiger,,,,mineral,,,,Founder,merit,queer
,,,,timber,,,,minimum,,,,Fountain,mesh,questioning
,,,,time,,,,mining,,,,Fraction,mesmerize,quick
,,,,tin,,,,minister,,,,Fracture,mess,quiet
,,,,tip,,,,ministry,,,,Fragrance,message,quintessential
,,,,tired,,,,minor,,,,Frame,metamorphose,quirky
,,,,tissue,,,,minority,,,,Framework,mete,radical
,,,,title,,,,minute,,,,Franchise,migrate,radioactive
,,,,toast,,,,miracle,,,,Fraud,militate,random
,,,,toe,,,,mirror,,,,Freedom,milk,rapid
,,,,together,,,,misery,,,,Freezing,mill,rare
,,,,toilet,,,,miss,,,,Frequency,mime,rational
,,,,tomato,,,,missile,,,,Friday,mimic,raw
,,,,tongue,,,,mission,,,,Fridge,mince,ready
,,,,tool,,,,mistake,,,,Friend,mind,real
,,,,tooth,,,,mist,,,,Friendship,mine,realistic
,,,,top,,,,mix,,,,Fright,mingle,rear
,,,,topic,,,,mixture,,,,Fringe,minimize,reasonable
,,,,total,,,,mob,,,,Frog,minister,reassuring
,,,,touch,,,,mobile,,,,Front,mint,rebellious
,,,,tour,,,,mobility,,,,Frontier,mire,recent
,,,,tourism,,,,mode,,,,Frost,mirror,reciprocal
,,,,tourist,,,,model,,,,Frown,misbehave,reckless
,,,,tournament,,,,moderation,,,,Fruit,miscalculate,red
,,,,towel,,,,modern,,,,Frustration,misconceive,redundant
,,,,tower,,,,modification,,,,Fuel,misconduct,reflective
,,,,town,,,,module,,,,Fulfillment,misdirect,regional
,,,,track,,,,moisture,,,,Full,misinterpret,regular
,,,,trade,,,,molecule,,,,Fun,misjudge,relative
,,,,tradition,,,,moment,,,,Function,mislead,relaxed
,,,,traffic,,,,momentum,,,,Functional,mismanage,relaxing
,,,,train,,,,monarch,,,,Fund,misplace,relentless
,,,,trainer,,,,monarchy,,,,Fundamental,misrepresent,relevant
,,,,training,,,,monastery,,,,Funding,miss,reliable
,,,,transfer,,,,money,,,,Fundraising,mistake,relieved
,,,,transformation,,,,monitor,,,,Funeral,mistreat,religious
,,,,transition,,,,monkey,,,,Fur,mistrust,reluctant
,,,,translation,,,,monopoly,,,,Furnace,misuse,remarkable
,,,,transmission,,,,monster,,,,Furniture,mitigate,remedial
,,,,transport,,,,month,,,,Furrow,mix,remote
,,,,transportation,,,,monument,,,,Fury,moan,renowned
,,,,trap,,,,mood,,,,Fuse,mobilize,repetitive
,,,,travel,,,,moon,,,,Fusion,mock,representative
,,,,traveler,,,,moral,,,,Future,model,repressive
,,,,traveling,,,,morality,,,,Gain,moderate,repulsive
,,,,treasure,,,,morning,,,,Gallery,modernize,reputed
,,,,treatment,,,,mortality,,,,Gallon,modify,required
,,,,tree,,,,mortgage,,,,Gamble,modulate,research
,,,,trend,,,,mosque,,,,Gambling,moisten,residential
,,,,trial,,,,mother,,,,Game,mold,residual
,,,,triangle,,,,motion,,,,Gaming,molest,resilient
,,,,tribe,,,,motivation,,,,Gang,mollify,resolute
,,,,trick,,,,motive,,,,Gap,monitor,resonant
,,,,trip,,,,motor,,,,Garage,monopolize,respectful
,,,,triumph,,,,motorist,,,,Garden,moor,respective
,,,,troop,,,,mountain,,,,Gardener,mop,respiratory
,,,,trouble,,,,mouse,,,,Gardening,moralize,responsible
,,,,truck,,,,mouth,,,,Garlic,mortgage,restless
,,,,trust,,,,move,,,,Gas,motion,restorative
,,,,truth,,,,movement,,,,Gate,motivate,restrictive
,,,,try,,,,movie,,,,Gateway,motor,retail
,,,,tube,,,,mud,,,,Gatherer,mount,retired
,,,,tune,,,,multiplication,,,,Gathering,mourn,retrospective
,,,,tunnel,,,,murder,,,,Gauge,mouth,reveal
,,,,turn,,,,murderer,,,,Gear,move,reverse
,,,,twin,,,,muscle,,,,Gender,muddle,revolutionary
,,,,twist,,,,museum,,,,Gene,muddy,rewarding
,,,,type,,,,mushroom,,,,General,muffle,rhythmic
,,,,uncle,,,,music,,,,Generation,multiply,rich
,,,,understanding,,,,musical,,,,Generator,mumble,ridiculous
,,,,underwear,,,,musician,,,,Genius,munch,right
,,,,unemployment,,,,mystery,,,,Genre,murder,rigid
,,,,union,,,,myth,,,,Gentleman,murmur,rigorous
,,,,unit,,,,mythology,,,,Geography,muse,ripe
,,,,universe,,,,nail,,,,Geometry,muster,risky
,,,,university,,,,name,,,,Germ,mutate,ritual
,,,,update,,,,nanny,,,,Gesture,mutter,rival
,,,,use,,,,narrative,,,,Ghost,muzzle,robust
,,,,user,,,,nation,,,,Giant,mystify,rocky
,,,,utility,,,,nationality,,,,Gift,nail,romantic
,,,,vacation,,,,native,,,,Girl,name,rough
,,,,valley,,,,nature,,,,Girlfriend,narrate,round
,,,,value,,,,navigation,,,,Glance,narrow,routine
,,,,variation,,,,navy,,,,Glass,nationalize,royal
,,,,variety,,,,necessity,,,,Globalization,navigate,rude
,,,,vegetable,,,,neck,,,,Globe,near,rugged
,,,,vehicle,,,,necklace,,,,Glory,necessitate,ruled
,,,,version,,,,needle,,,,Glove,neck,rural
,,,,victim,,,,negative,,,,Glow,need,rustic
,,,,victory,,,,neglect,,,,Glue,negate,ruthless
,,,,video,,,,negotiation,,,,Goal,neglect,sacred
,,,,view,,,,negotiator,,,,Goat,negotiate,sad
,,,,viewer,,,,neighborhood,,,,God,nerve,safe
,,,,village,,,,neighbor,,,,Gold,nest,saline
,,,,violence,,,,nerve,,,,Golf,net,same
,,,,virtue,,,,nest,,,,Good,network,sandy
,,,,virus,,,,net,,,,Goodbye,neutralize,sane
,,,,vision,,,,network,,,,Goodness,nibble,sarcastic
,,,,visit,,,,news,,,,Goods,nick,satisfactory
,,,,visitor,,,,newspaper,,,,Goose,nickname,satisfied
,,,,voice,,,,niche,,,,Governance,nod,satisfying
,,,,volume,,,,nickel,,,,Government,nominate,savage
,,,,vote,,,,nightmare,,,,Governor,normalize,savory
,,,,voter,,,,night,,,,Gown,nose,scalar
,,,,voyage,,,,nobility,,,,Grace,notch,scant
,,,,wage,,,,noise,,,,Grade,note,scarce
,,,,waist,,,,nomination,,,,Gradient,notice,scary
,,,,wait,,,,nominee,,,,Graduate,notify,scattered
,,,,waiter,,,,non-profit,,,,Graduation,nourish,scenic
,,,,waitress,,,,nonsense,,,,Grain,nudge,skeptical
,,,,wake,,,,noon,,,,Grammar,nullify,scholastic
,,,,walk,,,,norm,,,,Grandfather,number,scientific
,,,,wall,,,,north,,,,Grandmother,nurse,scrupulous
,,,,wallet,,,,northern,,,,Grandparent,nurture,seasonal
,,,,war,,,,nose,,,,Grant,obey,secondary
,,,,wash,,,,notebook,,,,Grape,object,secret
,,,,washing,,,,note,,,,Graph,oblige,secular
,,,,waste,,,,nothing,,,,Graphic,obliterate,secure
,,,,watch,,,,notice,,,,Grasp,obscure,sedate
,,,,water,,,,notion,,,,Grass,observe,sedentary
,,,,wave,,,,noun,,,,Gratitude,obsess,seductive
,,,,way,,,,novel,,,,Grave,obstruct,seemingly
,,,,wealth,,,,novelist,,,,Gravity,obtain,select
,,,,weapon,,,,novelty,,,,Greatness,obviate,selective
,,,,weather,,,,nucleus,,,,Green,occasion,self-centered
,,,,web,,,,nuisance,,,,Greenhouse,occupy,self-confident
,,,,website,,,,number,,,,Greeting,occur,self-conscious
,,,,wedding,,,,nurse,,,,Grey,offend,selfish
,,,,week,,,,nursery,,,,Grid,offer,semantic
,,,,weekend,,,,nursing,,,,Grief,officiate,semi-final
,,,,weight,,,,nut,,,,Grill,offset,senior
,,,,welcome,,,,nutrition,,,,Grin,oil,sensational
,,,,welfare,,,,nylon,,,,Grip,omit,senseless
,,,,well,,,,oak,,,,Grocery,ooze,sensible
,,,,west,,,,oar,,,,Ground,open,sensitive
,,,,wheel,,,,oasis,,,,Group,operate,sensory
,,,,whip,,,,obedience,,,,Growth,oppose,sensual
,,,,white,,,,obesity,,,,Guarantee,oppress,sentimental
,,,,width,,,,object,,,,Guard,opt,separate
,,,,wife,,,,objection,,,,Guardian,optimize,sequential
,,,,wild,,,,objective,,,,Guerrilla,orbit,serene
,,,,wind,,,,obligation,,,,Guess,orchestrate,serial
,,,,window,,,,observation,,,,Guest,order,serious
,,,,wine,,,,observatory,,,,Guidance,organize,severe
,,,,wing,,,,observer,,,,Guide,orient,sexual
,,,,winner,,,,obsession,,,,Guideline,originate,shady
,,,,winter,,,,obstacle,,,,Guilt,ornament,shallow
,,,,wire,,,,occasion,,,,Guitar,orphan,shameful
,,,,wisdom,,,,occupation,,,,Gum,oscillate,shameless
,,,,wish,,,,occurrence,,,,Gun,ostracize,shared
,,,,witness,,,,ocean,,,,Guy,oust,sharp
,,,,woman,,,,odd,,,,Gym,outdo,shattered
,,,,wonder,,,,odor,,,,Habit,outlaw,sheer
,,,,wood,,,,offense,,,,Habitat,outline,shiny
,,,,wool,,,,offender,,,,Hair,outlive,shocked
,,,,word,,,,offer,,,,Half,outnumber,shocking
,,,,work,,,,offering,,,,Hall,outpace,short
,,,,worker,,,,office,,,,Hallway,outperform,short-term
,,,,workshop,,,,officer,,,,Halt,outrun,shrewd
,,,,world,,,,official,,,,Ham,outsmart,shrill
,,,,worm,,,,offset,,,,Hammer,outstrip,shy
,,,,worry,,,,offspring,,,,Hand,outweigh,sick
,,,,worship,,,,oil,,,,Handbook,overcome,significant
,,,,wound,,,,ointment,,,,Handful,overdo,silent
,,,,wrap,,,,olive,,,,Handicap,overdose,silky
,,,,wrist,,,,olympics,,,,Handle,overestimate,silly
,,,,writer,,,,onion,,,,Handling,overflow,silver
,,,,writing,,,,opening,,,,Handwriting,overhaul,similar
,,,,yard,,,,opera,,,,Hanger,overhear,simple
,,,,year,,,,operation,,,,Happiness,overlap,sincere
,,,,youth,,,,operator,,,,Harbor,overlook,single
,,,,zone,,,,opinion,,,,Hardship,overpower,singular
,,,,zoo,,,,opponent,,,,Hardware,overrule,sinister
,,,,,,,,opportunity,,,,Harmony,overshadow,situated
,,,,,,,,opposition,,,,Harvest,overshoot,skeptical
,,,,,,,,optimism,,,,Hat,oversleep,sketchy
,,,,,,,,optimistic,,,,Hate,overstate,skilled
,,,,,,,,option,,,,Hatred,overtake,skillful
,,,,,,,,orange,,,,Hazard,overthrow,skinny
,,,,,,,,orchestra,,,,Head,overtime,sleek
,,,,,,,,order,,,,Headache,overturn,sleepy
,,,,,,,,ordinary,,,,Heading,overwhelm,slender
,,,,,,,,organ,,,,Headline,owe,slight
,,,,,,,,organization,,,,Headquarters,own,slim
,,,,,,,,organizer,,,,Health,oxidize,slippery
,,,,,,,,orientation,,,,Healthcare,oxygenate,sloppy
,,,,,,,,origin,,,,Hearing,pace,slow
,,,,,,,,original,,,,Heart,pacify,sluggish
,,,,,,,,originality,,,,Heat,pack,small
,,,,,,,,orphan,,,,Heater,package,smart
,,,,,,,,orthodox,,,,Heating,paddle,smooth
,,,,,,,,outfit,,,,Heaven,page,smug
,,,,,,,,outline,,,,Hedge,pain,snappy
,,,,,,,,outlook,,,,Heel,paint,sneaky
,,,,,,,,output,,,,Height,pair,sober
,,,,,,,,outside,,,,Helicopter,pale,sociable
,,,,,,,,oven,,,,Hell,pamper,social
,,,,,,,,owner,,,,Helmet,pan,socialist
,,,,,,,,ownership,,,,Help,panel,societal
,,,,,,,,oxygen,,,,Helper,panic,soft
,,,,,,,,oyster,,,,Hem,pant,solar
,,,,,,,,pace,,,,Herb,parachute,sole
,,,,,,,,pack,,,,Heritage,parade,solemn
,,,,,,,,package,,,,Hero,parallel,solid
,,,,,,,,packet,,,,Hesitation,paralyze,solitary
,,,,,,,,pact,,,,Hierarchy,paraphrase,solo
,,,,,,,,pad,,,,Highlight,parcel,soluble
,,,,,,,,page,,,,Highway,pardon,sophisticated
,,,,,,,,pain,,,,Hike,park,sore
,,,,,,,,painter,,,,Hiker,parley,sorrowful
,,,,,,,,paint,,,,Hiking,parody,sorry
,,,,,,,,painting,,,,Hill,parrot,sound
,,,,,,,,pair,,,,Hint,part,sour
,,,,,,,,palace,,,,Hip,partake,south
,,,,,,,,pal,,,,Hire,participate,southern
,,,,,,,,palate,,,,Historian,partition,spacious
,,,,,,,,palm,,,,History,partner,spare
,,,,,,,,pamphlet,,,,Hit,party,sparkling
,,,,,,,,panel,,,,Hobby,pass,spatial
,,,,,,,,panic,,,,Hockey,paste,special
,,,,,,,,paper,,,,Hold,pastor,specialized
,,,,,,,,parade,,,,Holder,pat,specific
,,,,,,,,paradigm,,,,Holding,patch,spectacular
,,,,,,,,paradise,,,,Hole,patent,spectral
,,,,,,,,paragraph,,,,Holiday,patrol,speculative
,,,,,,,,parallel,,,,Hollow,patronize,speechless
,,,,,,,,parameter,,,,Home,patter,speedy
,,,,,,,,parcel,,,,Homeland,pause,spellbound
,,,,,,,,pardon,,,,Homelessness,pave,spherical
,,,,,,,,parent,,,,Homework,pawn,spicy
,,,,,,,,parish,,,,Honesty,pay,spiritual
,,,,,,,,parking,,,,Honey,peak,splendid
,,,,,,,,park,,,,Honor,peck,spontaneous
,,,,,,,,parliament,,,,Hook,pedal,sporadic
,,,,,,,,partial,,,,Hope,peel,sporting
,,,,,,,,participant,,,,Horizon,peep,spot
,,,,,,,,participation,,,,Hormone,peer,spotless
,,,,,,,,particle,,,,Horn,peg,sprawling
,,,,,,,,particular,,,,Horror,pelt,spring
,,,,,,,,partner,,,,Horse,penalize,square
,,,,,,,,partnership,,,,Hospital,penetrate,stable
,,,,,,,,part,,,,Hospitality,pen,staggering
,,,,,,,,party,,,,Host,pension,stagnant
,,,,,,,,passenger,,,,Hostage,people,stained
,,,,,,,,passion,,,,Hostel,pepper,stale
,,,,,,,,passport,,,,Hostility,perceive,stalwart
,,,,,,,,password,,,,Hot,perch,standard
,,,,,,,,past,,,,Hotel,perfect,standby
,,,,,,,,pasta,,,,Hour,perforate,standing
,,,,,,,,pastor,,,,House,perform,stark
,,,,,,,,pasture,,,,Household,perfume,startling
,,,,,,,,patent,,,,Housing,perish,starving
,,,,,,,,path,,,,Hub,permeate,static
,,,,,,,,pathway,,,,Hug,permit,statistical
,,,,,,,,patience,,,,Human,perpetuate,stationary
,,,,,,,,patient,,,,Humanity,perplex,statutory
,,,,,,,,patriot,,,,Humidity,persecute,staunch
,,,,,,,,patriotism,,,,Humor,persevere,steady
,,,,,,,,patrol,,,,Hunger,persist,steep
,,,,,,,,patron,,,,Hunt,personalize,stellar
,,,,,,,,pattern,,,,Hunter,personify,sterile
,,,,,,,,pavement,,,,Hunting,persuade,stern
,,,,,,,,pavilion,,,,Hurricane,pertain,sticky
,,,,,,,,pay,,,,Hurry,perturb,stiff
,,,,,,,,payment,,,,Hurt,peruse,still
,,,,,,,,pea,,,,Husband,pervade,stimulating
,,,,,,,,peace,,,,Hybrid,pester,stingy
,,,,,,,,peak,,,,Hydrogen,petition,stirring
,,,,,,,,peanut,,,,Hypothesis,phase,stock
,,,,,,,,pearl,,,,Ice,phone,stony
,,,,,,,,peasant,,,,Idea,photograph,stormy
,,,,,,,,pebble,,,,Ideal,phrase,stout
,,,,,,,,pedal,,,,Identification,pick,straight
,,,,,,,,pedestrian,,,,Identity,picket,straightforward
,,,,,,,,peel,,,,Ideology,picnic,stranded
,,,,,,,,peer,,,,Idiot,picture,strange
,,,,,,,,pen,,,,Ignorance,pierce,strategic
,,,,,,,,penalty,,,,Illness,pile,stray
,,,,,,,,pencil,,,,Illusion,pillage,strenuous
,,,,,,,,penguin,,,,Illustration,pilot,stressed
,,,,,,,,penicillin,,,,Image,pin,stressful
,,,,,,,,peninsula,,,,Imagery,pinch,strict
,,,,,,,,penny,,,,Imagination,pine,striking
,,,,,,,,pension,,,,Imaging,pioneer,stringent
,,,,,,,,pensioner,,,,Immigration,pipe,strong
,,,,,,,,people,,,,Impact,pique,structural
,,,,,,,,pepper,,,,Implementation,pirate,stubborn
,,,,,,,,percentage,,,,Implication,pit,stuck
,,,,,,,,perception,,,,Import,pitch,studious
,,,,,,,,performance,,,,Importance,pity,stunning
,,,,,,,,performer,,,,Imposition,pivot,sturdy
,,,,,,,,perfume,,,,Impression,placate,stylish
,,,,,,,,peril,,,,Imprisonment,place,subjective
,,,,,,,,perimeter,,,,Improvement,plague,sublime
,,,,,,,,period,,,,Impulse,plan,submissive
,,,,,,,,periodic,,,,Inability,plant,subordinate
,,,,,,,,permission,,,,Incentive,plaster,subsequent
,,,,,,,,permit,,,,Incidence,plate,substantial
,,,,,,,,persistence,,,,Incident,plateau,subtle
,,,,,,,,personality,,,,Inclusion,play,suburban
,,,,,,,,personnel,,,,Income,plead,successful
,,,,,,,,perspective,,,,Increase,please,successive
,,,,,,,,perspiration,,,,Independence,pledge,sudden
,,,,,,,,pest,,,,Index,plod,sufficient
,,,,,,,,petition,,,,Indication,plot,sugar
,,,,,,,,petrol,,,,Indicator,plow,suitable
,,,,,,,,phase,,,,Indictment,pluck,sultry
,,,,,,,,phenomenon,,,,Individual,plug,summary
,,,,,,,,philosopher,,,,Industry,plumb,summer
,,,,,,,,philosophy,,,,Inequality,plummet,sunlit
,,,,,,,,phone,,,,Infancy,plump,sunny
,,,,,,,,phosphate,,,,Infant,plunder,superb
,,,,,,,,photograph,,,,Infection,plunge,superficial
,,,,,,,,photographer,,,,Inflation,ply,superior
,,,,,,,,photography,,,,Influence,poach,supernatural
,,,,,,,,photo,,,,Information,pocket,supersonic
,,,,,,,,phrase,,,,Infrastructure,point,superstitious
,,,,,,,,physics,,,,Ingredient,poise,supportive
,,,,,,,,pianist,,,,Inhabitant,poison,supreme
,,,,,,,,piano,,,,Inheritance,poke,sure
,,,,,,,,pick,,,,Inhibition,polarize,surgical
,,,,,,,,picnic,,,,Initial,police,surplus
,,,,,,,,picture,,,,Initiative,polish,surprised
,,,,,,,,piece,,,,Injection,pollute,surprising
,,,,,,,,pier,,,,Injustice,ponder,surrender
,,,,,,,,pig,,,,Ink,pool,surrounding
,,,,,,,,pigeon,,,,Inn,pop,suspicious
,,,,,,,,pigment,,,,Inner,popularize,sustainable
,,,,,,,,pile,,,,Innocence,populate,sweet
,,,,,,,,pilgrim,,,,Innovation,porch,swift
,,,,,,,,pilgrimage,,,,Innovator,portend,symbolic
,,,,,,,,pill,,,,Input,portion,symmetrical
,,,,,,,,pillar,,,,Inquiry,portray,sympathetic
,,,,,,,,pillow,,,,Insect,pose,symptomatic
,,,,,,,,pilot,,,,Insertion,position,synonymous
,,,,,,,,pin,,,,Insight,possess,synthetic
,,,,,,,,pine,,,,Insider,post,systematic
,,,,,,,,pink,,,,Inspection,postpone,tactical
,,,,,,,,pioneer,,,,Inspector,postulate,talented
,,,,,,,,pipe,,,,Inspiration,pot,talkative
,,,,,,,,pirate,,,,Installation,pounce,tall
,,,,,,,,piston,,,,Instance,pound,tame
,,,,,,,,pit,,,,Instant,pour,tangible
,,,,,,,,pitch,,,,Instinct,pout,tangled
,,,,,,,,pity,,,,Institute,powder,tasty
,,,,,,,,place,,,,Institution,practice,technical
,,,,,,,,placement,,,,Instruction,praise,technological
,,,,,,,,plague,,,,Instructor,pray,tedious
,,,,,,,,plain,,,,Instrument,preach,teenage
,,,,,,,,planet,,,,Insulation,precede,temporary
,,,,,,,,planning,,,,Insulin,precipitate,tender
,,,,,,,,plant,,,,Insult,preclude,tense
,,,,,,,,plantation,,,,Insurance,predicate,tenuous
